,bodyId,type,roi,x,y,z,confidence,linksTo
338,5813087532,post,IB,21316,12308,19432,0.885393,983
339,5813087532,post,IB,22580,12162,19361,0.972425,809
340,5813087532,post,IB,22096,11991,19431,0.988026,405
341,5813087532,pre,PB,18670,12132,18230,0.845,1740
342,5813087532,pre,PB,19444,11556,18076,0.902,2384
343,5813087532,pre,PB,18833,11929,18040,0.824,1731
344,5813087532,pre,PB,19156,11986,18027,0.932,1978
345,5813087532,pre,PB,19057,11874,17848,0.974,1975
346,5813087532,pre,PB,19180,12011,17959,0.925,2026
347,5813087532,pre,PB,18801,11927,17936,0.922,1916
348,5813087532,pre,PB,19194,11854,17943,0.914,2009
349,5813087532,pre,PB,18568,11860,17768,0.955,1950
350,5813087532,pre,PB,18788,12345,18282,0.887,1778
351,5813087532,pre,PB,18807,11199,18045,0.685,2131
352,5813087532,pre,PB,19248,11494,17665,0.904,2521
353,5813087532,pre,PB,18861,11998,18173,0.923,1734
354,5813087532,pre,PB,18893,11305,18153,0.93,2101
355,5813087532,pre,PB,19168,11102,16384,0.916,2717
356,5813087532,pre,PB,18967,11088,16261,0.855,2677
357,5813087532,pre,PB,19446,11172,16563,0.89,2634
358,5813087532,pre,PB,19445,11113,16639,0.896,2639
359,5813087532,pre,PB,19398,11120,16500,0.925,2643
360,5813087532,pre,PB,19425,11151,16691,0.973,2625
361,5813087532,pre,PB,19329,11261,16999,0.988,2572
362,5813087532,pre,PB,19335,11188,16310,0.833,2657
363,5813087532,post,IB,23913,10992,21936,0.842574,4940
364,5813087532,post,IB,23154,11148,22063,0.927617,4540
365,5813087532,post,SPS(R),18706,10432,22545,0.767834,3253
366,5813087532,post,IB,22770,11359,22447,0.693,5053
367,5813087532,post,SPS(R),19955,10624,21688,0.46431434,5073
368,5813087532,post,SPS(R),17786,12845,26873,0.45439094,3970
369,5813087532,post,SPS(R),17781,10675,23016,0.4710093,3300
370,5813087532,post,IB,21229,10885,21290,0.977209,2809
371,5813087532,post,IB,23025,10734,21863,0.47474027,4500
372,5813087532,post,IB,21671,11545,20312,0.465212,1332
373,5813087532,post,IB,21387,10975,21204,0.827127,2779
374,5813087532,post,IB,21650,11797,19972,0.907308,1056
375,5813087532,post,IB,21320,12125,19743,0.966,423
376,5813087532,post,SPS(R),16960,12909,26149,0.768528,4136
377,5813087532,post,SPS(R),16956,12873,26118,0.937239,4138
378,5813087532,post,SPS(R),16848,13514,26690,0.547808,5225
379,5813087532,post,SPS(R),16665,10689,23300,0.51618,3360
380,5813087532,post,SPS(R),16726,10475,23170,0.954,3341
381,5813087532,post,IB,21503,10946,20839,0.886,2756
382,5813087532,post,IB,20608,13475,18190,0.695802,911
383,5813087532,post,SPS(R),17131,13620,24751,0.46142268,5191
384,5813087532,post,SPS(R),17180,13789,24800,0.990432,5170
